選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,完投,完封,year,沢村賞
大島　崇行,広島,1.64,7,0,0,0,1,0,46,11,10,0,3,1,8,2,2,1.18,2.76,0,0,2011,0
中村　勝,日本ハム,2.45,2,0,1,0,0,0,47,11,10,1,4,0,7,3,3,1.27,4.12,0,0,2011,0
鄭　凱文,阪神,3.38,3,1,0,0,0,1,46,10.2,14,1,2,1,5,4,4,1.5,4.25,0,0,2011,0
加藤　幹典,ヤクルト,9,6,0,0,0,0,0,46,10,10,3,7,0,4,10,10,1.7,8.32,0,0,2011,0
藤田　宗一,ソフトバンク,9.64,19,0,1,0,5,0,45,9.1,10,1,5,3,8,10,10,1.61,5.37,0,0,2011,0
小熊　凌祐,中日,16,6,1,0,0,1,1,48,9,14,5,6,1,8,16,16,2.22,10.9,0,0,2011,0
阿南　徹,オリックス,4,5,0,0,0,0,0,36,9,8,1,1,0,8,4,4,1,3.12,0,0,2011,0
小杉　陽太,横浜,4,5,0,1,0,0,0,34,9,7,1,2,0,7,4,4,1,3.68,0,0,2011,0
山本　哲哉,ヤクルト,4.15,9,0,1,0,0,0,38,8.2,10,0,3,0,5,4,4,1.5,3,0,0,2011,0
武藤　祐太,中日,4.15,7,0,0,0,0,0,37,8.2,9,2,3,0,7,4,4,1.38,5.54,0,0,2011,0
ＭＩＣＨＥＡＬ,巨人,4.32,7,1,0,0,0,1,35,8.1,9,0,1,2,3,4,4,1.2,3.48,0,0,2011,0
藤岡　好明,ソフトバンク,9.72,5,1,0,0,0,1,42,8.1,10,1,5,2,8,9,9,1.8,5.28,0,0,2011,0
阿部　和成,ロッテ,12.96,3,0,2,0,0,0,50,8.1,17,1,7,2,3,12,12,2.88,7.2,0,0,2011,0
蕭　一傑,阪神,2.16,2,0,1,0,0,0,34,8.1,7,1,4,0,7,4,2,1.32,4.08,0,0,2011,0
江草　仁貴,西武,5.63,12,0,1,0,3,0,41,8,7,0,9,0,6,8,5,2,4.62,0,0,2011,0
乾　真大,日本ハム,7.88,5,0,0,0,0,0,39,8,12,1,3,0,9,8,7,1.88,3.62,0,0,2011,0
藤原　良平,西武,3.52,5,0,0,0,0,0,35,7.2,8,0,2,4,5,3,3,1.3,4.16,0,0,2011,0
大塚　豊,日本ハム,8.59,3,0,1,0,0,0,42,7.1,16,1,2,1,5,7,7,2.45,4.76,0,0,2011,0
秋山　拓巳,阪神,6.14,2,0,1,0,0,0,37,7.1,8,1,7,1,1,7,5,2.05,7.48,0,0,2011,0
柳川　洋平,ソフトバンク,1.29,8,0,0,0,0,0,24,7,4,0,1,0,6,2,1,0.71,1.83,0,0,2011,0
朝倉　健太,中日,9,2,0,1,0,0,0,34,7,10,2,4,0,4,8,7,2,7.41,0,0,2011,0
ゴンザレス,横浜,12.86,2,1,1,0,0,0.5,36,7,16,0,1,0,4,10,10,2.43,2.41,0,0,2011,0
中田　廉,広島,6.43,2,0,0,0,0,0,36,7,10,0,3,0,4,6,5,1.86,3.26,0,0,2011,0
阿斗里,横浜,2.84,3,0,1,0,0,0,24,6.1,4,0,2,0,1,2,2,0.95,3.75,0,0,2011,0
加賀美　希昇,横浜,1.5,1,1,0,0,0,1,23,6,4,0,0,0,6,1,1,0.67,1.12,0,0,2011,0
小野寺　力,ヤクルト,8.44,6,0,0,0,1,0,31,5.1,10,0,5,0,2,5,5,2.81,5.18,0,0,2011,0
一場　靖弘,ヤクルト,5.06,5,0,0,0,0,0,23,5.1,4,0,4,0,5,3,3,1.5,3.5,0,0,2011,0
松崎　伸吾,楽天,0,3,0,0,0,0,0,20,5.1,4,0,1,0,3,0,0,0.94,2.56,0,0,2011,0
レルー,ソフトバンク,1.8,4,0,0,0,0,0,20,5,6,0,1,0,1,1,1,1.4,3.32,0,0,2011,0
矢貫　俊之,日本ハム,1.8,1,0,1,0,0,0,21,5,3,0,4,0,4,1,1,1.4,3.92,0,0,2011,0
清原　大貴,阪神,1.8,1,0,1,0,0,0,21,5,5,0,0,0,1,1,1,1,2.72,0,0,2011,0
藤井　秀悟,巨人,5.4,1,0,0,0,0,0,22,5,6,2,1,0,1,3,3,1.4,8.52,0,0,2011,0
小林　雅英,オリックス,13.5,6,0,0,0,0,0,27,4.2,10,2,5,0,0,7,7,3.21,11.91,0,0,2011,0
川崎　雄介,阪神,7.71,6,0,0,0,0,0,22,4.2,5,1,3,0,3,4,4,1.71,6.55,0,0,2011,0
野上　亮磨,西武,10.38,4,0,1,0,0,0,20,4.1,8,2,0,0,3,5,5,1.85,7.74,0,0,2011,0
佐藤　祥万,横浜,4.5,10,0,0,0,3,0,18,4,4,0,3,0,4,2,2,1.75,3.37,0,0,2011,0
林　昌範,日本ハム,13.5,5,0,0,0,2,0,22,4,10,0,3,0,2,6,6,3.25,4.37,0,0,2011,0
弦本　悠希,広島,4.5,4,0,0,0,0,0,22,4,5,0,4,1,0,4,2,2.25,6.87,0,0,2011,0
木田　優夫,日本ハム,4.5,3,0,0,0,0,0,18,4,4,0,2,0,3,2,2,1.5,3.12,0,0,2011,0
若竹　竜士,阪神,9,2,0,0,0,0,0,19,4,6,0,2,0,2,4,4,2,3.62,0,0,2011,0
大野　雄大,中日,13.5,1,0,1,0,0,0,22,4,9,2,1,0,2,7,6,2.5,9.37,0,0,2011,0
菊地原　毅,広島,2.45,5,0,0,0,0,0,15,3.2,2,0,1,1,1,1,1,0.82,4.21,0,0,2011,0
シコースキー,西武,4.91,4,0,1,0,0,0,17,3.2,4,1,2,0,3,2,2,1.64,5.03,0,0,2011,0
菊池　保則,楽天,13.5,2,0,1,0,0,0,25,3.1,5,1,8,1,3,6,5,3.9,13.32,0,0,2011,0
高橋　秀聡,ソフトバンク,13.5,1,0,1,0,0,0,17,3.1,6,1,1,0,3,5,5,2.1,6.12,0,0,2011,0
西川　雅人,オリックス,12,3,0,0,0,0,0,18,3,7,0,2,1,4,4,4,3,3.45,0,0,2011,0
川島　亮,ヤクルト,6,1,0,1,0,0,0,15,3,5,0,1,0,1,2,2,2,3.45,0,0,2011,0
田中　健二朗,横浜,6,1,0,0,0,0,0,16,3,6,1,0,0,1,4,2,2,6.79,0,0,2011,0
山岸　穣,ヤクルト,15,1,0,0,0,0,0,15,3,4,1,2,0,1,5,5,2,8.79,0,0,2011,0
加藤　康介,阪神,10.13,4,0,0,0,0,0,13,2.2,4,0,1,0,3,3,3,1.88,2,0,0,2011,0
星野　真澄,巨人,13.5,3,0,0,0,0,0,13,2.2,3,0,2,1,1,4,4,1.88,5.75,0,0,2011,0
伊原　正樹,オリックス,0,2,0,0,0,0,0,14,2.2,4,0,1,1,1,0,0,1.88,4.62,0,0,2011,0
藤原　紘通,楽天,6.75,1,0,1,0,0,0,15,2.2,4,0,4,0,1,2,2,3,6.87,0,0,2011,0
小笠原　孝,中日,0,1,0,0,0,0,0,8,2.2,0,0,0,0,3,0,0,0,0.87,0,0,2011,0
佐藤　賢,ヤクルト,0,2,0,0,0,0,0,9,2.1,1,0,1,0,2,0,0,0.86,2.69,0,0,2011,0
岩崎　哲也,西武,3.86,2,0,0,0,0,0,12,2.1,5,0,1,1,0,1,1,2.57,5.69,0,0,2011,0
林　昌樹,広島,0,2,0,0,0,0,0,7,2.1,0,0,0,0,5,0,0,0,-1.17,0,0,2011,0
高市　俊,ヤクルト,23.14,1,0,0,0,0,0,14,2.1,7,0,1,0,0,6,6,3.43,4.41,0,0,2011,0
根本　朋久,日本ハム,9,2,0,0,0,0,0,9,2,2,0,2,0,1,2,2,2,5.12,0,0,2011,0
武隈　祥太,西武,0,2,0,0,0,0,0,7,2,1,0,0,0,1,0,0,0.5,2.12,0,0,2011,0
矢地　健人,中日,9,2,0,0,0,1,0,12,2,4,0,2,0,0,2,2,3,6.12,0,0,2011,0
高橋　聡文,中日,0,2,0,0,0,1,0,6,2,0,0,0,0,2,0,0,0,1.12,0,0,2011,0
中澤　雅人,ヤクルト,18,1,0,1,0,0,0,13,2,7,0,0,0,1,5,4,3.5,2.12,0,0,2011,0
服部　泰卓,ロッテ,10.8,5,0,0,0,1,0,8,1.2,4,0,0,0,1,2,2,2.4,1.92,0,0,2011,0
神内　靖,ソフトバンク,16.2,2,0,0,0,0,0,9,1.2,4,1,0,0,2,3,3,2.4,8.52,0,0,2011,0
安藤　優也,阪神,16.2,1,0,0,0,0,0,12,1.2,5,0,2,0,1,3,3,4.2,5.52,0,0,2011,0
白仁田　寛和,阪神,0,2,0,0,0,1,0,7,1.1,1,0,0,0,1,0,0,0.75,1.62,0,0,2011,0
大嶺　祐太,ロッテ,33.75,1,0,1,0,0,0,11,1.1,3,1,4,0,1,5,5,5.25,20.37,0,0,2011,0
梶本　達哉,オリックス,20.25,1,0,0,0,0,0,9,1.1,3,0,2,0,1,3,3,3.75,6.12,0,0,2011,0
岡本　直也,ヤクルト,27,3,0,0,0,0,0,8,1,5,0,0,0,1,3,3,5,1.12,0,0,2011,0
オビスポ,日本ハム,54,2,0,0,0,0,0,10,1,4,1,3,0,0,6,6,7,25.12,0,0,2011,0
横山　竜士,広島,45,2,0,0,0,0,0,8,1,3,0,2,0,1,5,5,5,7.12,0,0,2011,0
相澤　寿聡,広島,0,2,0,0,0,0,0,5,1,3,0,1,0,0,0,0,4,6.12,0,0,2011,0
小川　龍也,中日,0,1,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,1.12,0,0,2011,0
榎下　陽大,日本ハム,9,1,0,0,0,0,0,6,1,2,0,1,0,1,1,1,3,4.12,0,0,2011,0
運天　ジョン・クレイトン,日本ハム,9,1,0,0,0,0,0,5,1,2,1,0,0,0,1,1,2,16.12,0,0,2011,0
木下　達生,中日,0,1,0,0,0,0,0,5,1,0,0,2,0,1,0,0,2,7.12,0,0,2011,0
小松　聖,オリックス,135,1,0,0,0,0,0,6,0.1,5,1,0,0,0,5,5,15,42.12,0,0,2011,0
石井　弘寿,ヤクルト,0,1,0,0,0,0,0,1,0.1,0,0,0,0,1,0,0,0,-2.88,0,0,2011,0
前田　健太,広島,1.53,29,14,7,0,0,0.667,820,206.1,161,6,44,9,171,46,35,0.99,2.6,5,2,2012,0
成瀬　善久,ロッテ,2.83,28,12,11,0,0,0.522,806,200.2,176,21,34,2,122,71,63,1.05,3.79,5,2,2012,0
メッセンジャー,阪神,2.52,30,10,11,0,0,0.476,801,196.2,165,7,65,4,166,65,55,1.17,2.87,3,2,2012,0
攝津　正,ソフトバンク,1.91,27,17,5,0,0,0.773,770,193.1,148,8,54,2,153,46,41,1.04,2.94,3,2,2012,1
岸　孝之,西武,2.45,26,11,12,0,0,0.478,729,187.2,141,9,40,4,150,52,51,0.96,2.85,4,1,2012,0
内海　哲也,巨人,1.98,28,15,6,0,0,0.714,757,186,173,8,40,9,121,47,41,1.15,3.15,3,2,2012,0
武田　勝,日本ハム,2.36,28,11,7,0,0,0.611,709,182.2,159,10,30,4,90,50,48,1.03,3.39,4,2,2012,0
三浦　大輔,DeNA,2.86,25,9,9,0,0,0.5,738,182.2,160,15,48,3,107,61,58,1.14,3.79,6,1,2012,0
能見　篤史,阪神,2.42,29,10,10,0,0,0.5,737,182,157,14,37,3,172,61,49,1.07,2.86,3,2,2012,0
牧田　和久,西武,2.43,27,13,9,0,0,0.591,739,178,175,4,36,9,108,55,48,1.19,2.96,3,1,2012,0
大隣　憲司,ソフトバンク,2.03,25,12,8,0,0,0.6,705,177.1,147,9,46,4,134,45,40,1.09,3.11,6,3,2012,0
バリントン,広島,3.23,29,7,14,0,0,0.333,733,175.2,166,8,44,5,137,79,63,1.2,2.92,0,0,2012,0
吉川　光夫,日本ハム,1.71,25,14,5,0,0,0.737,668,173.2,108,6,45,4,158,35,33,0.88,2.58,5,3,2012,0
田中　将大,楽天,1.87,22,10,4,0,0,0.714,696,173,160,4,19,2,169,45,36,1.03,1.83,8,3,2012,0
石川　雅規,ヤクルト,3.6,27,8,11,0,0,0.421,721,172.2,175,14,41,5,100,77,69,1.25,3.78,2,1,2012,0
野村　祐輔,広島,1.98,27,9,11,0,0,0.45,704,172.2,143,6,52,2,103,46,38,1.13,3.32,0,0,2012,0
澤村　拓一,巨人,2.86,27,10,10,0,0,0.5,716,169.2,172,12,54,4,138,56,54,1.33,3.44,2,1,2012,0
グライシンガー,ロッテ,2.24,25,12,8,0,0,0.6,666,168.2,144,5,24,5,112,52,42,1,2.69,3,1,2012,0
館山　昌平,ヤクルト,2.25,25,12,8,0,1,0.6,676,168.1,141,7,45,6,119,45,42,1.1,3.1,2,1,2012,0
ロマン,ヤクルト,3.04,26,9,11,0,0,0.45,703,165.2,152,8,69,6,96,59,56,1.33,3.89,3,2,2012,0
杉内　俊哉,巨人,2.04,24,12,4,0,0,0.75,634,163,116,6,43,3,172,42,37,0.98,2.33,3,2,2012,0
ホールトン,巨人,2.45,25,12,8,0,0,0.6,630,158,116,11,44,8,132,46,43,1.01,3.32,0,0,2012,0
赤川　克紀,ヤクルト,3.79,28,8,9,0,0,0.471,668,156.2,156,13,52,9,91,73,66,1.33,4.17,2,1,2012,0
美馬　学,楽天,3.08,23,8,10,0,0,0.444,633,154.2,142,12,36,5,108,55,53,1.15,3.53,2,0,2012,0
岩田　稔,阪神,3.52,25,8,14,0,0,0.364,648,153.1,157,10,41,2,107,73,60,1.29,3.35,0,0,2012,0
木佐貫　洋,オリックス,2.6,24,5,9,0,0,0.357,628,152.1,138,8,42,3,96,47,44,1.18,3.41,5,1,2012,0
高崎　健太郎,DeNA,3.2,24,7,10,0,0,0.412,643,151.2,155,9,40,4,97,63,54,1.29,3.48,2,0,2012,0
スタンリッジ,阪神,2.69,25,7,12,0,0,0.368,619,150.1,134,8,45,11,102,50,45,1.19,3.53,1,0,2012,0
ウルフ,日本ハム,2.66,26,10,9,0,0,0.526,628,149,155,2,40,6,83,49,44,1.31,3.05,1,0,2012,0
山田　大樹,ソフトバンク,2.78,24,8,10,0,0,0.444,623,148.2,129,10,57,9,83,51,46,1.25,4.21,1,0,2012,0
山内　壮馬,中日,2.43,24,10,7,0,0,0.588,589,148,128,8,32,4,68,42,40,1.08,3.61,0,0,2012,0
大竹　寛,広島,2.36,24,11,5,0,0,0.688,618,144.2,144,6,43,5,85,44,38,1.29,3.46,0,0,2012,0
村中　恭兵,ヤクルト,3.88,25,10,7,0,0,0.588,633,144,155,6,60,5,89,65,62,1.49,3.76,3,2,2012,0
中田　賢一,中日,2.83,22,7,10,0,0,0.412,562,140,119,6,33,9,106,46,44,1.09,3.02,2,0,2012,0
吉見　一起,中日,1.75,19,13,4,0,0,0.765,529,138.2,121,5,13,0,76,28,27,0.97,2.77,6,2,2012,0
石井　一久,西武,3.33,24,10,5,0,0,0.667,560,132.1,126,14,44,4,74,57,49,1.28,4.47,2,2,2012,0
西　勇輝,オリックス,2.78,19,8,3,0,0,0.727,503,123,106,3,33,5,87,41,38,1.13,2.95,2,1,2012,0
岩嵜　翔,ソフトバンク,3.14,29,5,10,0,3,0.333,498,120.1,113,5,27,3,77,46,42,1.16,3.13,2,0,2012,0
野上　亮磨,西武,2.97,23,8,5,0,0,0.615,496,115.1,128,8,36,5,49,42,38,1.42,4.24,0,0,2012,0
藤岡　貴裕,ロッテ,3.36,21,6,7,0,0,0.462,508,115.1,113,9,51,4,83,48,43,1.42,4.1,1,0,2012,0
国吉　佑樹,DeNA,3.67,19,4,12,0,0,0.25,498,112.2,108,10,59,2,95,57,46,1.48,4.16,1,1,2012,0
釜田　佳直,楽天,3.28,20,7,4,0,0,0.636,501,112.1,126,4,38,7,77,48,41,1.46,3.41,2,1,2012,0
ヒメネス,楽天,3.15,18,5,10,0,0,0.333,460,108.2,102,6,39,6,63,45,38,1.3,3.89,1,0,2012,0
岩田　慎司,中日,2.74,20,5,5,0,0,0.5,438,108.1,87,11,26,7,84,36,33,1.04,3.8,0,0,2012,0
久保　康友,阪神,2.33,18,4,7,0,0,0.364,442,108,99,7,25,5,65,31,28,1.15,3.59,1,0,2012,0
中山　慎也,オリックス,2.87,53,1,7,0,14,0.125,447,106.2,105,4,30,3,93,39,34,1.27,2.79,0,0,2012,0
塩見　貴洋,楽天,3.71,19,6,10,0,0,0.375,450,106.2,102,9,33,4,67,45,44,1.27,3.97,2,1,2012,0
斎藤　佑樹,日本ハム,3.98,19,5,8,0,0,0.385,480,104,126,8,48,2,59,60,46,1.67,4.4,2,1,2012,0
辛島　航,楽天,2.53,16,8,5,0,0,0.615,414,103.1,87,4,22,5,79,30,29,1.05,2.88,0,0,2012,0
山井　大介,中日,1.43,56,4,3,15,13,0.571,385,101,71,3,23,2,80,20,16,0.93,2.63,0,0,2012,0
寺原　隼人,オリックス,3.92,16,6,8,0,0,0.429,441,101,114,7,31,3,61,49,44,1.44,3.82,1,1,2012,0
宮國　椋丞,巨人,1.86,17,6,2,0,0,0.75,386,97,76,4,28,3,54,27,20,1.07,3.47,1,1,2012,0
今井　啓介,広島,2.81,24,4,8,1,1,0.333,405,96,86,8,34,1,70,35,30,1.25,3.84,1,1,2012,0
多田野　数人,日本ハム,3.7,18,6,5,0,1,0.545,372,90,92,9,17,1,48,41,37,1.21,3.95,0,0,2012,0
今村　猛,広島,1.89,69,2,2,4,26,0.5,344,85.2,73,4,18,4,89,21,18,1.06,2.35,0,0,2012,0
唐川　侑己,ロッテ,2.66,12,8,2,0,0,0.8,341,84.2,81,4,15,2,32,26,25,1.13,3.55,3,0,2012,0
藤井　秀悟,DeNA,3.75,16,7,7,0,0,0.5,358,84,83,7,37,1,40,36,35,1.43,4.57,0,0,2012,0
大谷　智久,ロッテ,3.2,42,4,6,0,5,0.4,345,81.2,84,1,19,1,44,30,29,1.26,2.9,0,0,2012,0
西口　文也,西武,3.75,14,5,2,0,0,0.714,347,81.2,77,4,29,1,44,35,34,1.3,3.78,0,0,2012,0
菊池　雄星,西武,3.1,14,4,3,1,0,0.571,339,81.1,75,5,25,1,57,34,28,1.23,3.48,0,0,2012,0
小野　晋吾,ロッテ,3.44,15,2,5,0,0,0.286,336,81,74,6,17,5,42,32,31,1.12,3.86,0,0,2012,0
平野　佳寿,オリックス,2.15,70,7,4,9,21,0.636,307,79.2,65,4,5,2,80,21,19,0.88,1.99,0,0,2012,0
新垣　渚,ソフトバンク,4.58,15,6,5,0,0,0.545,335,78.2,66,4,38,4,56,42,40,1.32,3.96,1,0,2012,0
小林　太志,DeNA,3.74,35,2,3,0,1,0.4,337,77,76,8,23,11,44,36,32,1.29,4.57,0,0,2012,0
山口　鉄也,巨人,0.84,72,3,2,5,44,0.6,277,75.1,47,1,7,3,68,7,7,0.72,1.81,0,0,2012,0
益田　直也,ロッテ,1.67,72,2,2,1,41,0.5,308,75.1,61,2,19,2,57,25,14,1.06,2.67,0,0,2012,0
増渕　竜義,ヤクルト,5.38,49,2,7,0,8,0.222,331,73.2,80,6,34,2,63,45,44,1.55,3.89,0,0,2012,0
安藤　優也,阪神,4.05,13,3,7,0,0,0.3,310,73.1,78,6,15,1,42,36,33,1.27,3.69,0,0,2012,0
増井　浩俊,日本ハム,2.76,73,5,5,7,45,0.5,298,71.2,65,2,25,0,69,26,22,1.26,2.52,0,0,2012,0
西村　健太朗,巨人,1.14,69,3,2,32,12,0.6,276,71.1,41,3,22,2,58,15,9,0.88,2.84,0,0,2012,0
田島　慎二,中日,1.15,56,5,3,0,30,0.625,274,70.2,50,1,17,3,56,10,9,0.95,2.57,0,0,2012,0
渡辺　俊介,ロッテ,4.39,13,4,4,0,0,0.5,302,69.2,80,7,13,2,22,36,34,1.33,4.44,1,0,2012,0
ブランドン,DeNA,5.32,16,2,8,0,0,0.2,301,69.1,66,3,29,3,42,43,41,1.37,3.86,0,0,2012,0
マクレーン,オリックス,3.91,18,5,4,0,0,0.556,303,69,74,4,26,4,28,36,30,1.45,4.37,0,0,2012,0
中郷　大樹,ロッテ,2.51,44,3,1,0,6,0.75,276,68,54,4,18,5,36,21,19,1.06,3.8,0,0,2012,0
山本昌,中日,2.94,13,3,2,0,0,0.6,264,67.1,52,4,19,2,40,22,22,1.05,3.55,0,0,2012,0
武田　翔太,ソフトバンク,1.07,11,8,1,0,0,0.889,262,67,40,1,26,1,67,9,8,0.99,2.52,1,1,2012,0
八木　智哉,日本ハム,3.38,13,6,3,0,0,0.667,285,66.2,67,4,16,6,37,27,25,1.25,3.74,0,0,2012,0
青山　浩二,楽天,2.51,61,5,4,22,2,0.556,260,64.2,48,2,19,4,54,18,18,1.04,2.92,0,0,2012,0
小松　聖,オリックス,4.9,21,3,5,0,2,0.375,288,64.1,73,7,19,7,45,38,35,1.43,4.3,0,0,2012,0
フィガロ,オリックス,3.09,11,0,5,0,0,0,268,64,61,5,19,3,37,23,22,1.25,4.01,0,0,2012,0
金子　千尋,オリックス,2.4,9,4,3,0,0,0.571,265,63.2,65,2,15,1,56,19,17,1.26,2.52,2,1,2012,0
ソーサ,中日,1.85,53,5,1,4,21,0.833,260,63.1,54,1,19,1,50,17,13,1.15,2.5,0,0,2012,0
涌井　秀章,西武,3.71,55,1,5,30,3,0.167,271,63,66,1,22,2,40,27,26,1.4,3.15,0,0,2012,0
ソト,中日,2.17,18,4,1,0,3,0.8,246,62.1,45,3,21,1,48,16,15,1.06,3.22,0,0,2012,0
山口　俊,DeNA,1.74,60,1,2,22,3,0.333,258,62,46,1,22,5,62,13,12,1.1,2.44,0,0,2012,0
井川　慶,オリックス,4.65,12,2,7,0,0,0.222,278,62,64,5,31,2,36,35,32,1.53,4.6,0,0,2012,0
福田　聡志,巨人,1.61,50,8,1,0,17,0.889,236,61.2,32,2,26,0,51,11,11,0.94,3.15,0,0,2012,0
谷元　圭介,日本ハム,3.52,28,2,2,0,7,0.5,257,61.1,61,3,16,1,39,24,24,1.26,3.32,0,0,2012,0
森内　壽春,日本ハム,4.01,56,0,1,0,16,0,247,60.2,49,6,24,0,37,27,27,1.2,4.32,0,0,2012,0
宮西　尚生,日本ハム,2.25,66,2,2,0,39,0.5,244,60,51,4,14,4,56,18,15,1.08,2.97,0,0,2012,0
押本　健彦,ヤクルト,3.62,65,4,1,1,22,0.8,261,59.2,64,9,21,2,49,26,24,1.42,4.49,0,0,2012,0
福井　優也,広島,4.3,17,2,3,0,0,0.4,264,58.2,52,6,37,1,53,28,28,1.52,4.59,0,0,2012,0
森福　允彦,ソフトバンク,1.39,65,2,5,17,24,0.286,235,58.1,40,1,17,3,55,12,9,0.98,2.33,0,0,2012,0
ミコライオ,広島,2.79,61,3,5,21,15,0.375,227,58,42,4,14,3,54,19,18,0.97,3.03,0,0,2012,0
加賀美　希昇,DeNA,3.28,10,3,3,0,0,0.5,250,57.2,56,3,19,2,40,25,21,1.3,3.45,1,0,2012,0
岡本　篤志,西武,4.11,59,1,3,2,15,0.25,255,57,66,5,17,4,39,32,26,1.46,3.94,0,0,2012,0
鶴　直人,阪神,1.89,43,1,0,0,5,1,223,57,40,3,16,1,30,13,12,0.98,3.59,0,0,2012,0
薮田　安彦,ロッテ,3.34,61,1,6,26,8,0.143,250,56.2,58,4,22,3,43,22,21,1.41,3.53,0,0,2012,0
海田　智行,オリックス,3.04,31,0,4,0,1,0,245,56.1,63,2,20,1,30,19,19,1.47,3.63,0,0,2012,0
バーネット,ヤクルト,1.82,57,1,2,33,3,0.333,213,54.1,44,4,11,2,52,15,11,1.01,2.88,0,0,2012,0
武田　久,日本ハム,2.32,56,4,4,32,3,0.5,230,54.1,56,2,19,0,34,14,14,1.38,3.23,0,0,2012,0
雄太,中日,4.31,14,3,5,0,0,0.375,231,54.1,58,3,12,1,26,33,26,1.29,3.6,0,0,2012,0
加藤　大輔,楽天,3.35,35,1,0,0,2,1,235,53.2,50,2,21,2,37,24,20,1.32,3.51,0,0,2012,0
十亀　剣,西武,2.72,41,6,0,0,9,1,223,53,50,4,17,3,41,16,16,1.26,3.57,0,0,2012,0
渡辺　亮,阪神,2.06,50,0,0,0,4,0,239,52.1,50,3,31,2,33,18,12,1.55,4.5,0,0,2012,0
岸田　護,オリックス,2.42,52,4,2,18,3,0.667,214,52,49,5,13,0,49,15,14,1.19,3,0,0,2012,0
日高　亮,ヤクルト,2.98,66,3,2,0,15,0.6,213,51.1,41,2,21,1,40,19,17,1.21,3.35,0,0,2012,0
福原　忍,阪神,1.76,60,2,4,1,18,0.333,216,51,48,2,12,4,43,13,10,1.18,2.83,0,0,2012,0
岩瀬　仁紀,中日,2.29,54,1,3,33,6,0.25,207,51,44,3,13,2,30,15,13,1.12,3.41,0,0,2012,0
筒井　和也,阪神,3.24,58,2,1,2,18,0.667,209,50,45,3,19,3,46,19,18,1.28,3.2,0,0,2012,0
小山　伸一郎,楽天,1.99,57,1,2,0,25,0.333,202,49.2,34,3,21,2,42,13,11,1.11,3.6,0,0,2012,0
藤江　均,DeNA,3.26,52,3,5,1,21,0.375,202,49.2,37,4,18,2,42,18,18,1.11,3.56,0,0,2012,0
サファテ,広島,2.9,47,2,5,9,4,0.286,221,49.2,43,1,24,6,44,24,16,1.35,3.42,0,0,2012,0
マエストリ,オリックス,2.17,8,4,3,0,0,0.571,204,49.2,45,0,12,4,40,17,12,1.15,2.48,1,0,2012,0
菊地　和正,DeNA,2.37,63,3,2,1,14,0.6,204,49.1,34,2,24,2,19,15,13,1.18,4.21,0,0,2012,0
岡島　秀樹,ソフトバンク,0.94,56,0,2,9,24,0,181,47.2,34,1,6,0,36,6,5,0.84,2.26,0,0,2012,0
藤川　球児,阪神,1.32,48,2,2,24,2,0.5,189,47.2,34,1,15,1,58,7,7,1.03,1.84,0,0,2012,0
長田　秀一郎,西武,2.53,53,2,1,1,26,0.667,181,46.1,28,5,11,2,26,16,13,0.84,4.11,0,0,2012,0
藤岡　好明,ソフトバンク,1.19,39,1,0,0,8,1,175,45.1,36,0,9,0,34,8,6,0.99,2.22,0,0,2012,0
大場　翔太,ソフトバンク,2.38,10,2,5,0,0,0.286,186,45.1,30,1,16,4,41,16,12,1.01,2.92,1,0,2012,0
中村　勝,日本ハム,1.79,8,2,2,0,0,0.5,184,45.1,36,2,16,1,29,10,9,1.15,3.54,0,0,2012,0
ゴンザレス,巨人,3.2,11,4,1,0,0,0.8,206,45,57,2,22,2,26,18,16,1.76,4.14,0,0,2012,0
山本　哲哉,ヤクルト,1.21,50,2,2,0,17,0.5,183,44.2,41,1,15,3,38,6,6,1.25,2.92,0,0,2012,0
大野　雄大,中日,2.62,9,4,3,0,1,0.571,188,44.2,40,1,14,3,41,15,13,1.21,2.65,0,0,2012,0
金澤　健人,ソフトバンク,2.44,49,1,0,0,7,1,184,44.1,36,2,14,3,28,18,12,1.13,3.46,0,0,2012,0
加賀　繁,DeNA,2.86,61,0,2,0,26,0,175,44,34,4,11,2,45,14,14,1.02,3.01,0,0,2012,0
高木　康成,巨人,1.44,40,3,1,0,6,0.75,169,43.2,34,0,8,0,25,9,7,0.96,2.46,0,0,2012,0
小山　雄輝,巨人,1.87,10,2,2,0,1,0.5,168,43.1,29,1,11,0,28,11,9,0.92,2.89,0,0,2012,0
陽　耀勲,ソフトバンク,1.48,9,2,3,0,1,0.4,168,42.2,24,1,18,4,45,10,7,0.98,2.86,1,1,2012,0
ウィリアムス,西武,1.7,55,4,3,4,25,0.571,185,42.1,30,0,23,7,41,11,8,1.25,3.17,0,0,2012,0
榎田　大樹,阪神,2.34,48,3,3,2,21,0.5,188,42.1,36,2,20,8,37,13,11,1.32,3.76,0,0,2012,0
ラズナー,楽天,2.79,46,1,3,6,17,0.25,174,42,36,3,12,0,32,15,13,1.14,3.38,0,0,2012,0
マシソン,巨人,1.71,40,2,0,10,8,1,165,42,30,1,11,1,48,9,8,0.98,2,0,0,2012,0
