選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,完投,完封,year,沢村賞
藤井　秀悟,日本ハム,3.53,22,7,5,0,0,0.583,498,114.2,120,11,48,6,63,45,45,1.47,4.68,0,0,2009,0
平野　佳寿,オリックス,4.72,20,3,12,0,0,0.2,495,114.1,129,14,38,0,91,60,60,1.46,4.12,2,1,2009,0
浅尾　拓也,中日,3.49,67,7,9,6,33,0.438,464,113.1,108,6,24,6,96,47,44,1.16,2.86,0,0,2009,0
ウォーランド,横浜,4.8,21,5,10,0,0,0.333,505,110.2,128,10,50,4,85,63,59,1.61,4.14,1,0,2009,0
岩田　稔,阪神,2.68,16,7,5,0,0,0.583,455,110.2,99,3,27,8,103,40,33,1.14,2.53,4,2,2009,0
長谷部　康平,楽天,5.19,25,5,8,0,1,0.385,499,109.1,132,12,49,6,65,69,63,1.66,4.84,0,0,2009,0
藤岡　好明,ソフトバンク,4.6,38,5,8,0,2,0.385,434,101.2,98,10,38,4,82,57,52,1.34,4.02,0,0,2009,0
ユウキ,ヤクルト,3.4,19,5,6,0,0,0.455,435,100.2,104,8,36,7,77,41,38,1.39,3.85,1,0,2009,0
大嶺　祐太,ロッテ,5.78,16,5,6,0,0,0.455,428,95,115,11,35,5,59,62,61,1.58,4.65,2,1,2009,0
西口　文也,西武,5.11,25,4,4,0,3,0.5,423,93.1,110,14,38,4,60,55,53,1.59,5.07,0,0,2009,0
小松　聖,オリックス,7.09,17,1,9,0,0,0.1,428,91.1,121,17,40,4,74,78,72,1.76,5.33,2,0,2009,0
アッチソン,阪神,1.7,75,5,3,0,30,0.625,338,90,60,3,20,1,81,20,17,0.89,2.42,0,0,2009,0
吉見　祐治,横浜,4.28,27,3,4,0,1,0.429,383,88.1,93,11,28,4,73,46,42,1.37,4.14,0,0,2009,0
藤原　紘通,楽天,4.04,17,5,4,0,1,0.556,356,84.2,83,6,28,7,49,39,38,1.31,4.05,0,0,2009,0
和田　毅,ソフトバンク,4.06,15,4,5,0,0,0.444,337,84.1,72,13,24,1,87,39,38,1.14,3.95,0,0,2009,0
寺原　隼人,横浜,3.9,13,2,7,0,0,0.222,362,83,89,8,23,1,77,43,36,1.35,3.35,2,0,2009,0
ラズナー,楽天,6.09,15,4,7,0,0,0.364,361,81.1,94,13,23,7,52,56,55,1.44,4.99,0,0,2009,0
中田　賢一,中日,3.44,13,5,4,0,0,0.556,342,81,77,5,25,5,73,34,31,1.26,3.23,1,1,2009,0
攝津　正,ソフトバンク,1.47,70,5,2,0,34,0.714,321,79.2,51,3,35,1,102,13,13,1.08,2.33,0,0,2009,0
山口　鉄也,巨人,1.27,73,9,1,4,35,0.9,292,78,53,1,14,5,62,12,11,0.86,2.39,0,0,2009,0
ジャマーノ,ソフトバンク,4.38,14,5,4,0,0,0.556,328,76,92,6,10,6,42,40,37,1.34,3.67,0,0,2009,0
シュルツ,広島,2.28,73,5,3,1,35,0.625,298,75,57,0,22,0,72,19,19,1.05,2.08,0,0,2009,0
福原　忍,阪神,4.84,14,3,10,0,0,0.231,328,74.1,77,9,27,3,45,47,40,1.4,4.69,1,1,2009,0
高崎　健太郎,横浜,4.01,56,4,0,1,5,1,312,74,81,5,16,1,59,36,33,1.31,2.97,0,0,2009,0
青木　高広,広島,4.74,29,2,3,0,0,0.4,307,74,76,10,16,2,50,40,39,1.24,4.17,0,0,2009,0
大場　翔太,ソフトバンク,4.26,22,1,4,0,0,0.2,322,74,61,5,43,3,77,36,35,1.41,3.78,0,0,2009,0
川島　亮,ヤクルト,4.81,14,5,6,0,0,0.455,315,73,72,11,25,3,48,44,39,1.33,4.87,0,0,2009,0
越智　大祐,巨人,3.3,66,8,3,10,24,0.727,294,71,63,6,22,2,70,28,26,1.2,3.18,0,0,2009,0
糸数　敬作,日本ハム,4.56,13,4,5,0,0,0.444,295,71,53,8,27,8,43,40,36,1.13,4.85,2,0,2009,0
多田野　数人,日本ハム,5.76,13,5,5,0,0,0.5,302,70.1,71,10,27,3,46,45,45,1.39,4.94,0,0,2009,0
真田　裕貴,横浜,2.98,68,5,4,0,19,0.556,280,66.1,66,9,23,4,36,24,22,1.34,4.88,0,0,2009,0
小林　太志,横浜,4.48,12,1,8,0,0,0.111,295,66.1,69,5,24,4,37,41,33,1.4,4.21,1,0,2009,0
大沼　幸二,西武,3.14,54,4,7,1,15,0.364,284,66,59,6,30,4,45,26,23,1.35,4.26,0,0,2009,0
シコースキー,ロッテ,2.19,55,8,5,15,15,0.615,254,65.2,41,8,19,3,73,16,16,0.91,3.39,0,0,2009,0
香月　良太,オリックス,4.18,64,3,3,0,20,0.5,268,64.2,65,7,15,5,35,33,30,1.24,4.28,0,0,2009,0
横山　竜士,広島,3.52,69,3,8,0,31,0.273,270,64,57,5,26,2,56,27,25,1.3,3.65,0,0,2009,0
押本　健彦,ヤクルト,2.67,51,2,6,1,12,0.25,252,64,50,8,19,1,45,19,19,1.08,4.28,0,0,2009,0
小山　伸一郎,楽天,2.97,56,1,4,5,6,0.2,267,63.2,53,4,23,3,74,22,21,1.19,2.6,0,0,2009,0
江草　仁貴,阪神,2.71,62,4,5,0,11,0.444,274,63,50,3,40,2,65,21,19,1.43,3.68,0,0,2009,0
青山　浩二,楽天,5.49,28,3,5,5,2,0.375,281,62.1,70,10,25,4,53,43,38,1.52,4.85,0,0,2009,0
マストニー,横浜,5.69,15,1,5,0,0,0.167,296,61.2,79,8,25,11,43,45,39,1.69,5.16,0,0,2009,0
菊地　和正,日本ハム,3.67,58,5,2,0,21,0.714,252,61.1,59,5,11,2,62,25,25,1.14,2.7,0,0,2009,0
武田　久,日本ハム,1.2,55,3,0,34,4,1,243,60,54,1,14,0,38,10,8,1.13,2.77,0,0,2009,0
小松　剛,広島,5.25,25,5,3,0,0,0.625,271,60,75,9,19,4,41,37,35,1.57,4.75,0,0,2009,0
オビスポ,巨人,2.45,14,6,1,0,1,0.857,233,58.2,44,7,11,4,48,16,16,0.94,3.8,1,0,2009,0
馬原　孝浩,ソフトバンク,2.16,53,4,3,29,4,0.571,253,58.1,58,5,19,2,67,21,14,1.32,3.02,0,0,2009,0
藤川　球児,阪神,1.25,49,5,3,25,3,0.625,217,57.2,32,4,15,1,86,9,8,0.82,1.77,0,0,2009,0
ワズディン,西武,5.31,14,2,3,0,1,0.4,271,57.2,79,5,21,5,24,38,34,1.73,4.77,0,0,2009,0
伊藤　義弘,ロッテ,4.55,56,2,6,0,12,0.25,261,57.1,62,6,24,6,63,32,29,1.5,3.64,0,0,2009,0
林　昌勇,ヤクルト,2.05,57,5,4,28,5,0.556,229,57,40,4,19,2,52,15,13,1.04,3.1,0,0,2009,0
野上　亮磨,西武,4.45,25,3,5,1,3,0.375,247,56.2,60,9,23,2,33,29,28,1.46,5.29,0,0,2009,0
永川　勝浩,広島,2.73,56,3,6,36,3,0.333,241,56,53,3,21,1,48,20,17,1.32,3.12,0,0,2009,0
松岡　健一,ヤクルト,4.72,52,6,4,0,17,0.6,243,55.1,66,5,14,1,53,30,29,1.45,3.14,0,0,2009,0
山口　俊,横浜,3.27,51,5,4,18,7,0.556,223,55,44,7,17,4,68,22,20,1.11,3.45,0,0,2009,0
ランドルフ,横浜,1.96,8,5,2,0,0,0.714,232,55,33,2,34,4,59,12,12,1.22,3.52,1,1,2009,0
小野寺　力,西武,3.98,47,3,5,16,7,0.375,230,54.1,49,5,24,1,45,24,24,1.34,3.99,0,0,2009,0
井坂　亮平,楽天,5.67,15,2,3,0,1,0.4,246,54,67,6,21,0,23,36,34,1.63,4.82,0,0,2009,0
五十嵐　亮太,ヤクルト,3.19,56,3,2,3,29,0.6,221,53.2,42,3,20,3,44,19,19,1.16,3.44,0,0,2009,0
筒井　和也,阪神,3.71,45,1,2,0,1,0.333,232,53.1,45,5,22,4,45,25,22,1.26,4.11,0,0,2009,0
加藤　大輔,オリックス,5.23,48,4,4,13,3,0.5,229,51.2,58,5,15,3,53,35,30,1.41,3.26,0,0,2009,0
ファルケンボーグ,ソフトバンク,1.74,46,6,0,1,23,1,199,51.2,39,1,9,1,62,11,10,0.93,1.55,0,0,2009,0
